Command:,/Users/martin/source/executables/vxtractor.pl -h HMMs/bacteria/ -c testfile.output.csv -o testfile.output.fasta testfile.fasta
Options:,Don't include HMM in fasta
Sequence,V01leftlong,V01leftshort,V01rightlong,V01rightshort,V02leftlong,V02leftshort,V02rightlong,V02rightshort,V03leftlong,V03leftshort,V03rightlong,V03rightshort,V04leftlong,V04leftshort,V04rightlong,V04rightshort,V05leftlong,V05leftshort,V05rightlong,V05rightshort,V06leftlong,V06leftshort,V06rightlong,V06rightshort,V07leftlong,V07leftshort,V07rightlong,V07rightshort,V08leftlong,V08leftshort,V08rightlong,V08rightshort,V09leftlong,V09leftshort,V09rightlong,V09rightshort,V10leftlong,V10leftshort,V10rightlong,V10rightshort,V11leftlong,V11leftshort,V11rightlong,V11rightshort,V12leftlong,V12leftshort,V12rightlong,V12rightshort,V13leftlong,V13leftshort,V13rightlong,V13rightshort,V14leftlong,V14leftshort,V14rightlong,V14rightshort,V15leftlong,V15leftshort,V15rightlong,V15rightshort,V16leftlong,V16leftshort,V16rightlong,V16rightshort,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16
"'ABDP01000012.42.2931","'1-48","'3-48","'179-243","'179-243","'179-243","'179-243","'314-360","'314-360","'314-360","'314-360","'466-526","'466-526","'466-526","'466-526","'690-758","'690-758","'690-758","'690-758","'787-847","'787-847","'787-847","'787-847","'962-1031","'962-1031","'962-1031","'962-1031","'1073-1134","'1073-1134","'1073-1134","'1073-1134","'1252-1306","'1252-1306","'1252-1306","'1252-1306","'1328-1375","'1328-1375","'1328-1375","'1328-1375","'1449-1492","'1449-1492","'1449-1492","'1449-1492","'1684-1721","'1684-1721","'1684-1721","'1684-1721","'1891-1964","'1891-1964","'1891-1964","'1891-1964","'2206-2261","'2206-2261","'2206-2261","'2206-2261","'2379-2428","'2379-2428","'2379-2428","'2379-2428","'2525-2596","'2525-2596","'2525-2596","'2525-2596","'2809-2890","'2809-2872","'49-178","'244-313","'361-465","'527-689","'759-786","'848-961","'1032-1072","'1135-1251","'1307-1327","'1376-1448","'1493-1683","'1722-1890","'1965-2205","'2262-2378","'2429-2524","'2597-2808","'"
"'ABDV01000036.40.2942","'1-58","'13-58","'189-253","'189-253","'189-253","'189-253","'325-371","'325-371","'325-371","'325-371","'477-537","'477-537","'477-537","'477-537","'702-770","'702-770","'702-770","'702-770","'799-859","'799-859","'799-859","'799-859","'972-1041","'972-1041","'972-1041","'972-1041","'1083-1144","'1083-1144","'1083-1144","'1083-1144","'1262-1316","'1262-1316","'1262-1316","'1262-1316","'1337-1384","'1337-1384","'1337-1384","'1337-1384","'1458-1501","'1458-1501","'1458-1501","'1458-1501","'1697-1734","'1697-1734","'1697-1734","'1697-1734","'1904-1977","'1904-1977","'1904-1977","'1904-1977","'2219-2274","'2219-2274","'2219-2274","'2219-2274","'2392-2441","'2392-2441","'2392-2441","'2392-2441","'2537-2608","'2537-2608","'2537-2608","'2537-2608","'2821-2903","'2821-2884","'59-188","'254-324","'372-476","'538-701","'771-798","'860-971","'1042-1082","'1145-1261","'1317-1336","'1385-1457","'1502-1696","'1735-1903","'1978-2218","'2275-2391","'2442-2536","'2609-2820","'"
"'ABDX01000022.28.2921","'1-48","'3-48","'179-243","'179-243","'179-243","'179-243","'315-361","'315-361","'315-361","'315-361","'467-527","'467-527","'467-527","'467-527","'692-760","'692-760","'692-760","'692-760","'789-849","'789-849","'789-849","'789-849","'962-1031","'962-1031","'962-1031","'962-1031","'1073-1134","'1073-1134","'1073-1134","'1073-1134","'1252-1306","'1252-1306","'1252-1306","'1252-1306","'1328-1375","'1328-1375","'1328-1375","'1328-1375","'1449-1492","'1449-1492","'1449-1492","'1449-1492","'1688-1725","'1688-1725","'1688-1725","'1688-1725","'1895-1968","'1895-1968","'1895-1968","'1895-1968","'2210-2265","'2210-2265","'2210-2265","'2210-2265","'2383-2432","'2383-2432","'2383-2432","'2383-2432","'2529-2600","'2529-2600","'2529-2600","'2529-2600","'2813-2894","'2813-2876","'49-178","'244-314","'362-466","'528-691","'761-788","'850-961","'1032-1072","'1135-1251","'1307-1327","'1376-1448","'1493-1687","'1726-1894","'1969-2209","'2266-2382","'2433-2528","'2601-2812","'"
"'ABGG01000010.2075.4974","'1-56","'11-56","'184-248","'184-248","'184-248","'184-248","'321-366","'321-366","'321-366","'321-366","'472-532","'472-532","'472-532","'472-532","'695-763","'695-763","'695-763","'695-763","'791-851","'791-851","'791-851","'791-851","'968-1037","'968-1037","'968-1037","'968-1037","'1079-1140","'1079-1140","'1079-1140","'1079-1140","'1256-1310","'1256-1310","'1256-1310","'1256-1310","'1332-1379","'1332-1379","'1332-1379","'1332-1379","'1447-1492","'1447-1492","'1447-1492","'1447-1492","'1692-1729","'1692-1729","'1692-1729","'1692-1729","'1900-1973","'1900-1973","'1900-1973","'1900-1973","'2214-2269","'2214-2269","'2214-2269","'2214-2269","'2387-2436","'2387-2436","'2387-2436","'2387-2436","'2533-2604","'2533-2604","'2533-2604","'2533-2604","'2818-2900","'2818-2881","'57-183","'249-320","'367-471","'533-694","'764-790","'852-967","'1038-1078","'1141-1255","'1311-1331","'1380-1446","'1493-1691","'1730-1899","'1974-2213","'2270-2386","'2437-2532","'2605-2817","'"
"'ABGG01000012.36828.39716","'1-48","'3-48","'176-240","'176-240","'176-240","'176-240","'313-358","'313-358","'313-358","'313-358","'464-524","'464-524","'464-524","'464-524","'687-755","'687-755","'687-755","'687-755","'783-843","'783-843","'783-843","'783-843","'960-1029","'960-1029","'960-1029","'960-1029","'1071-1132","'1071-1132","'1071-1132","'1071-1132","'1248-1302","'1248-1302","'1248-1302","'1248-1302","'1324-1371","'1324-1371","'1324-1371","'1324-1371","'1439-1484","'1439-1484","'1439-1484","'1439-1484","'1684-1721","'1684-1721","'1684-1721","'1684-1721","'1892-1964","'1892-1964","'1892-1964","'1892-1964","'2205-2260","'2205-2260","'2205-2260","'2205-2260","'2378-2427","'2378-2427","'2378-2427","'2378-2427","'2524-2595","'2524-2595","'2524-2595","'2524-2595","'2809-2889","'2809-2872","'49-175","'241-312","'359-463","'525-686","'756-782","'844-959","'1030-1070","'1133-1247","'1303-1323","'1372-1438","'1485-1683","'1722-1891","'1965-2204","'2261-2377","'2428-2523","'2596-2808","'"
"'ABGH01000008.94172.97061","'1-48","'3-48","'176-240","'176-240","'176-240","'176-240","'313-358","'313-358","'313-358","'313-358","'464-524","'464-524","'464-524","'464-524","'687-755","'687-755","'687-755","'687-755","'783-843","'783-843","'783-843","'783-843","'960-1029","'960-1029","'960-1029","'960-1029","'1071-1132","'1071-1132","'1071-1132","'1071-1132","'1248-1302","'1248-1302","'1248-1302","'1248-1302","'1324-1371","'1324-1371","'1324-1371","'1324-1371","'1439-1484","'1439-1484","'1439-1484","'1439-1484","'1684-1721","'1684-1721","'1684-1721","'1684-1721","'1892-1965","'1892-1965","'1892-1965","'1892-1965","'2206-2261","'2206-2261","'2206-2261","'2206-2261","'2379-2428","'2379-2428","'2379-2428","'2379-2428","'2525-2596","'2525-2596","'2525-2596","'2525-2596","'2810-2890","'2810-2873","'49-175","'241-312","'359-463","'525-686","'756-782","'844-959","'1030-1070","'1133-1247","'1303-1323","'1372-1438","'1485-1683","'1722-1891","'1966-2205","'2262-2378","'2429-2524","'2597-2809","'"
"'ABHU01000059.199.3101","'1-56","'11-56","'188-252","'188-252","'188-252","'188-252","'292-337","'292-337","'292-337","'292-337","'440-501","'440-501","'440-501","'440-501","'665-733","'665-733","'665-733","'665-733","'761-821","'761-821","'761-821","'761-821","'937-1006","'937-1006","'937-1006","'937-1006","'1048-1108","'1048-1108","'1048-1108","'1048-1108","'1229-1284","'1229-1284","'1229-1284","'1229-1284","'1306-1353","'1306-1353","'1306-1353","'1306-1353","'1421-1465","'1421-1465","'1421-1465","'1421-1465","'1663-1700","'1663-1700","'1663-1700","'1663-1700","'1899-1972","'1899-1972","'1899-1972","'1899-1972","'2213-2268","'2213-2268","'2213-2268","'2213-2268","'2386-2435","'2386-2435","'2386-2435","'2386-2435","'2532-2603","'2532-2603","'2532-2603","'2532-2603","'2820-2903","'2820-2883","'57-187","'253-291","'338-439","'502-664","'734-760","'822-936","'1007-1047","'1109-1228","'1285-1305","'1354-1420","'1466-1662","'1701-1898","'1973-2212","'2269-2385","'2436-2531","'2604-2819","'"
"'ABKY02000001.1778916.1781820","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'667-735","'667-735","'667-735","'667-735","'763-823","'763-823","'763-823","'763-823","'939-1008","'939-1008","'939-1008","'939-1008","'1050-1110","'1050-1110","'1050-1110","'1050-1110","'1231-1286","'1231-1286","'1231-1286","'1231-1286","'1308-1355","'1308-1355","'1308-1355","'1308-1355","'1423-1467","'1423-1467","'1423-1467","'1423-1467","'1665-1702","'1665-1702","'1665-1702","'1665-1702","'1901-1974","'1901-1974","'1901-1974","'1901-1974","'2215-2270","'2215-2270","'2215-2270","'2215-2270","'2388-2437","'2388-2437","'2388-2437","'2388-2437","'2534-2605","'2534-2605","'2534-2605","'2534-2605","'2822-2905","'2822-2885","'59-189","'255-293","'340-441","'504-666","'736-762","'824-938","'1009-1049","'1111-1230","'1287-1307","'1356-1422","'1468-1664","'1703-1900","'1975-2214","'2271-2387","'2438-2533","'2606-2821","'"
"'ABKY02000001.2019591.2022495","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'667-735","'667-735","'667-735","'667-735","'763-823","'763-823","'763-823","'763-823","'939-1008","'939-1008","'939-1008","'939-1008","'1050-1110","'1050-1110","'1050-1110","'1050-1110","'1231-1286","'1231-1286","'1231-1286","'1231-1286","'1308-1355","'1308-1355","'1308-1355","'1308-1355","'1423-1467","'1423-1467","'1423-1467","'1423-1467","'1665-1702","'1665-1702","'1665-1702","'1665-1702","'1901-1974","'1901-1974","'1901-1974","'1901-1974","'2215-2270","'2215-2270","'2215-2270","'2215-2270","'2388-2437","'2388-2437","'2388-2437","'2388-2437","'2534-2605","'2534-2605","'2534-2605","'2534-2605","'2822-2905","'2822-2885","'59-189","'255-293","'340-441","'504-666","'736-762","'824-938","'1009-1049","'1111-1230","'1287-1307","'1356-1422","'1468-1664","'1703-1900","'1975-2214","'2271-2387","'2438-2533","'2606-2821","'"
"'ABQM01000001.11709.14634","'1-56","'11-56","'191-255","'191-255","'191-255","'191-255","'335-381","'335-381","'335-381","'335-381","'487-547","'487-547","'487-547","'487-547","'710-778","'710-778","'710-778","'710-778","'806-866","'806-866","'806-866","'806-866","'981-1050","'981-1050","'981-1050","'981-1050","'1092-1152","'1092-1152","'1092-1152","'1092-1152","'1268-1322","'1268-1322","'1268-1322","'1268-1322","'1344-1391","'1344-1391","'1344-1391","'1344-1391","'1466-1511","'1466-1511","'1466-1511","'1466-1511","'1707-1744","'1707-1744","'1707-1744","'1707-1744","'1927-2000","'1927-2000","'1927-2000","'1927-2000","'2241-2296","'2241-2296","'2241-2296","'2241-2296","'2414-2463","'2414-2463","'2414-2463","'2414-2463","'2560-2631","'2560-2631","'2560-2631","'2560-2631","'2844-2926","'2844-2907","'57-190","'256-334","'382-486","'548-709","'779-805","'867-980","'1051-1091","'1153-1267","'1323-1343","'1392-1465","'1512-1706","'1745-1926","'2001-2240","'2297-2413","'2464-2559","'2632-2843","'"
"'ABXM01000012.191088.193913","'1-57","'12-57","'225-290","'225-290","'225-290","'225-290","'319-364","'319-364","'319-364","'319-364","'461-522","'461-522","'461-522","'461-522","'685-753","'685-753","'685-753","'685-753","'781-841","'781-841","'781-841","'781-841","'956-1025","'956-1025","'956-1025","'956-1025","'1067-1127","'1067-1127","'1067-1127","'1067-1127","'1301-1356","'1301-1356","'1301-1356","'1301-1356","'1378-1425","'1378-1425","'1378-1425","'1378-1425","'notfound","'notfound","'notfound","'notfound","'1630-1667","'1630-1667","'1630-1667","'1630-1667","'1840-1913","'1840-1913","'1840-1913","'1840-1913","'2154-2209","'2154-2209","'2154-2209","'2154-2209","'2327-2376","'2327-2376","'2327-2376","'2327-2376","'2473-2544","'2473-2544","'2473-2544","'2473-2544","'2743-2826","'2743-2806","'58-224","'291-318","'365-460","'523-684","'754-780","'842-955","'1026-1066","'1128-1300","'1357-1377","'notfound","'notfound","'1668-1839","'1914-2153","'2210-2326","'2377-2472","'2545-2742","'"
"'ACFO01000016.2321.5209","'1-56","'11-56","'186-250","'186-250","'186-250","'186-250","'284-329","'284-329","'284-329","'284-329","'429-490","'429-490","'429-490","'429-490","'652-720","'652-720","'652-720","'652-720","'748-808","'748-808","'748-808","'748-808","'923-992","'923-992","'923-992","'923-992","'1033-1093","'1033-1093","'1033-1093","'1033-1093","'1213-1268","'1213-1268","'1213-1268","'1213-1268","'1290-1337","'1290-1337","'1290-1337","'1290-1337","'1405-1449","'1405-1449","'1405-1449","'1405-1449","'1649-1686","'1649-1686","'1649-1686","'1649-1686","'1885-1958","'1885-1958","'1885-1958","'1885-1958","'2199-2254","'2199-2254","'2199-2254","'2199-2254","'2372-2421","'2372-2421","'2372-2421","'2372-2421","'2518-2589","'2518-2589","'2518-2589","'2518-2589","'2806-2889","'2806-2869","'57-185","'251-283","'330-428","'491-651","'721-747","'809-922","'993-1032","'1094-1212","'1269-1289","'1338-1404","'1450-1648","'1687-1884","'1959-2198","'2255-2371","'2422-2517","'2590-2805","'"
"'ACHV01000001.1449024.1451910","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'653-721","'653-721","'653-721","'653-721","'749-809","'749-809","'749-809","'749-809","'924-993","'924-993","'924-993","'924-993","'1034-1094","'1034-1094","'1034-1094","'1034-1094","'1213-1268","'1213-1268","'1213-1268","'1213-1268","'1290-1337","'1290-1337","'1290-1337","'1290-1337","'1405-1449","'1405-1449","'1405-1449","'1405-1449","'1649-1686","'1649-1686","'1649-1686","'1649-1686","'1883-1956","'1883-1956","'1883-1956","'1883-1956","'2197-2252","'2197-2252","'2197-2252","'2197-2252","'2370-2419","'2370-2419","'2370-2419","'2370-2419","'2516-2587","'2516-2587","'2516-2587","'2516-2587","'2804-2887","'2804-2867","'59-187","'253-285","'332-430","'493-652","'722-748","'810-923","'994-1033","'1095-1212","'1269-1289","'1338-1404","'1450-1648","'1687-1882","'1957-2196","'2253-2369","'2420-2515","'2588-2803","'"
"'ACJB01000072.145.3064","'1-56","'11-56","'191-255","'191-255","'191-255","'191-255","'335-380","'335-380","'335-380","'335-380","'486-546","'486-546","'486-546","'486-546","'708-776","'708-776","'708-776","'708-776","'804-864","'804-864","'804-864","'804-864","'979-1048","'979-1048","'979-1048","'979-1048","'1090-1150","'1090-1150","'1090-1150","'1090-1150","'1267-1320","'1267-1320","'1267-1320","'1267-1320","'1342-1389","'1342-1389","'1342-1389","'1342-1389","'1464-1508","'1464-1508","'1464-1508","'1464-1508","'1705-1742","'1705-1742","'1705-1742","'1705-1742","'1924-1997","'1924-1997","'1924-1997","'1924-1997","'2238-2293","'2238-2293","'2238-2293","'2238-2293","'2411-2460","'2411-2460","'2411-2460","'2411-2460","'2557-2628","'2557-2628","'2557-2628","'2557-2628","'2838-2920","'2838-2901","'57-190","'256-334","'381-485","'547-707","'777-803","'865-978","'1049-1089","'1151-1266","'1321-1341","'1390-1463","'1509-1704","'1743-1923","'1998-2237","'2294-2410","'2461-2556","'2629-2837","'"
